step_id,recipe_id,step_number,step_text
57389,10434,7,全体に味がなじんだらしょうゆを回し入れ、さっと炒め合わせます。レタスをしいた器に盛り付けて出来上がりです。
57761,10543,1,ボウルに鶏ひき肉、長ねぎ、しょうが、白ごま、塩を加えて、全体がねっとりするまでよく混ぜる。
57762,10543,2,鍋に鍋のつゆの材料の水を沸かし、湯がふつふつするくらいの火かげんに調整する。
57795,10543,3,1を食べやすい大きさに丸めながら２に入れてゆでる。浮き上がったら、別の器に移す。
57763,10543,4,3の湯にみそを溶き入れる。再び沸いたら、もやし、にら、白菜キムチ、3の肉団子を入れて煮る。
59142,10806,1,鶏肉は一口大に切ります。水煮トマトはざるでこし、種と皮を取り除きます。
59143,10806,2,鍋に油を熱し、玉ねぎを黄金色からあめ色になるまでじっくり炒めます。小麦粉をまぶした鶏肉を入れ、さらに炒めます。
59144,10806,3,おろししょうがとAを加えて炒め、Bを加えます。酸味が飛ぶまで、20分ほど煮ます。
59145,10806,4,器にご飯を盛り付けて３のカレールーをかけ、ご飯にパセリを散らします。
60344,11063,1,豚肉は１枚ずつ巻いてかたまりにし、片栗粉を薄くまぶします。パプリカは縦に幅２cmくらいに切り、小ねぎは小口切りにします。
60345,11063,2,フライパンを中火で熱して半量のごま油を入れ、豚肉を焼きます。全体に焼き色がつくまで焼いて取り出します。
89964,11063,3,同じフライパンに残りの油を加えて中火で熱し、パプリカを加えて少ししんなりするまで炒めます。
63544,11063,4,豚肉を戻し入れて混ぜ合わせたAを加え、全体に味がよく絡むまで炒め合わせます。
60346,11063,5,器に盛り、小ねぎを散らして出来上がりです。
60710,11140,1,じゃがいもは皮をむいて６〜８等分に切る。鍋にひたひたの水とともに入れて火にかけ、竹串がすっと通るまでゆでる。
60711,11140,2,玉ねぎは耐熱容器に入れ、ラップをかけて電子レンジ（600W）で約１分加熱する。※加熱時間は２人分の目安。
60712,11140,3,１がゆで上がったら水気をきって乾煎りし、熱いうちにつぶす。１と２、Aの材料をすべて混ぜ合わせる。
60713,11140,4,３を一人２個付けになるように等分し、好みの形に成形する。
60714,11140,5,小麦粉、溶き卵、パン粉の順に衣をつけ、180℃の油できつね色になるまで揚げる。
60992,11140,6,器にちぎったサニーレタスとともにコロッケを盛りつけ、お好みでソースをかける。
60715,11141,1,厚揚げは縦半分に切り、１cm厚さに切る。青ねぎは斜め薄切り、ザーサイは細切りにする。
60716,11141,2,きくらげは水で戻してせん切りに、しょうがもせん切りにする。
60717,11141,3,フライパンにごま油を熱し、１と２を入れて炒める。
60991,11141,4,火が通ったら器に盛りつけ、粗挽き黒こしょうをふる。
60850,11151,1,サニーレタスは食べやすい大きさに手でちぎります。ブロッコリーは小房に分け、熱湯で色よくゆでます。
60849,11151,2,豚肉は茶こしを使って両面に薄く小麦粉を振ります。
60854,11151,3,玉ねぎは１cm幅くらいのくし切りにします。
60855,11151,4,フッ素樹脂加工のフライパンに油を入れて火にかけ、豚肉を入れて両面焼きます。火が通ったら取り出します。
60856,11151,5,４のフライパンに玉ねぎを入れて炒め、しんなりしたら豚肉を戻し入れ、弱火にして混ぜ合わせたAを加えて絡めます。
60857,11151,6,器に野菜と生姜焼きを盛り付けます。
60884,11157,1,鶏肉は食べやすい大きさに切ります。玉ねぎは２cm幅のくし切り、かぼちゃは一口大に切ります。
60885,11157,2,大きめの耐熱ボウルに鶏肉以外の１と水煮トマトを入れ、ラップをかけて電子レンジ（600ｗ）で約３分加熱します。
60886,11157,3,鶏肉を加えてざっとかき混ぜ、ラップをかけてさらに３分加熱します。
60887,11157,4,３を鍋に入れて水を加え、火にかけて５分ほど煮ます。一旦火を止め、Aを加えてルーを溶かします。
60888,11157,5,弱火で10分ほど煮込み、ご飯とともに器に盛りつけます。
60900,11163,1,鯖は切り込みを入れ、酒と半量の塩をふって20分ほどおきます。
60920,11163,2,大根おろしは軽く水けをきります。
60901,11163,3,１の汁けをふき取り、残りの塩をふってグリル等でこんがり焼きます。
60902,11163,4,器に鯖を盛りつけ、青じそをしいて大根おろしを添えます。
88806,11225,1,ブロッコリーは袋の表記通りに解凍し、水けをきります。ミニトマトは半分に切ります。
61139,11225,2,ボウルに卵を割り入れ、Aを加えて溶き合わせたら、さばを加えてさっと混ぜます。
61140,11225,3,天板またはアルミホイルの上にパンをのせ、耳から１cm内側を指やスプーンなどで押してくぼませます。
61141,11225,4,くぼみに２を流し入れ、ブロッコリーとミニトマトをのせたら、ピザ用チーズを散らします。
61142,11225,5,オーブントースターで卵がかたまるまで、様子をみながら10分ほど焼いて出来上がりです。
61539,11292,1,里いもは皮付きのまま耐熱容器に入れ、ふんわりとラップをします。電子レンジ（600ｗ）で３分ほど加熱しやわらかくします。
61540,11292,2,里いもは皮をむき、食べやすい大きさに切ります。
61538,11292,3,かに風味かまぼこは軽くほぐします。たらは食べやい大きさに切り、塩を振ります。
61541,11292,4,たらの水けをペーパータオルで拭きます。小麦粉を薄くまぶし、サラダ油を中火で熱したフライパンで焼きます。
61542,11292,5,両面に焼き色がついたら里いもを加え、さっと炒め合わせます。余分な油をペーパータオルで拭き、Aを加えて煮絡めます。
61543,11292,6,かに風味かまぼこを加え、とろみがついてきたら器に盛ります。粗びき黒こしょうを振り、小ねぎを散らしたら出来上がりです。
93507,11565,1,ベーコンは幅１cmに切ります。
63595,11565,2,耐熱容器にキャベツを入れて、ベーコンを散らします。
68619,11565,3,中央にくぼみをつくり、卵を割り入れます。アルミホイルをかけて、オーブントースターで卵に火が通るまで８分ほど焼きます。
63598,11565,4,塩、こしょうを振って出来上がりです。
64547,11749,1,鶏むね肉は包丁で厚みを均等にします。酒と砂糖を振り揉んだら、５分ほどおきます。
64548,11749,2,耐熱の器に入れ、ふんわりとラップをかけたら、電子レンジ（600ｗ）で１〜１分30秒加熱し、中まで火を通します。
